index,img,clutter,firstfixtotarget,iousfixmap,iousgradcam,gtcs,scs,targetsize,eccentricities,eccentricity scaled 0-1,precisions_fixmap,precisions_gradcam,accuracies_fixmap,accuracies_gradcam,ious_gradcamfixmap,avetargetsaliency,confidence,fixmapproportional_area,gradcamproportional_area,precisionsratio,log precision ratio,accuracyratio,log accuracy ratio,iou ratio,log iou ratio
66,430vase,107,4.473684211,0.3836486579,0.4832164948,0.0341163311,0.08771319179,0.08847431794,120.6076581,0.4211161245,0.9775495997,0.5461409396,0.3870589857,0.8074696803,0.1817707881,0.4954352828,99.5998621,0.03503124524,0.1308093278,1.775718221,0.5742049725,0.4857170795,-0.7221289656,0.7981254925,-0.2254894351
105,633television,101,3.941176471,0.3529048632,0.4587732421,0.7334473178,0.8769880992,0.06543514708,148.6772439,0.5191244551,0.5722389056,0.4587732421,0.4793627131,1,0.3430929374,0.1889844671,99.99728203,0.05481481481,0.1426306965,1.24204808,0.2167616949,0.4845175378,-0.7246016507,0.7741586561,-0.2559784443
19,569tray,95,4.055555556,0.3308018043,0.4306992715,0.2680706373,0.2945936006,0.07681146167,114.2735592,0.3989998577,0.4405418659,0.5090490293,0.5704420986,0.7367251369,0.2294224405,0.2709227005,97.89457917,0.0994604481,0.1111659808,0.8680140805,-0.1415473427,0.7773169402,-0.2519071094,0.7733205529,-0.2570616296
91,771window screen,132,4.333333333,0.381360536,0.4966192096,0.2128863279,0.003312825367,0.1008748666,125.9612364,0.4398087862,0.9966871746,0.6194342588,0.3818445546,0.7146742415,0.2113662348,0.1881359749,99.60218072,0.03864654778,0.1163846975,1.599352372,0.4695987797,0.5407182043,-0.6148570151,0.7724944664,-0.2581304334
171,418wardrobe,113,2.315789474,0.07065561784,0.2875175947,0.9059421278,0.9268713349,0.50028959,101.1892117,0.3533142867,1,0.7910341409,0.07065561784,0.3111503778,0.1699852507,0.0790608647,99.99949932,0.03534827008,0.1967870751,1.260870103,0.2318020408,0.2511459535,-1.381721021,0.2710952874,-1.305284906
151,462washing machine,144,1.210526316,0.07191810836,0.3324949869,0.7611066898,0.4652693151,0.34781893,61.43050026,0.2144919702,1,0.9159683535,0.07191810836,0.3429563023,0.06241655541,0.1248331448,99.91824031,0.0250144795,0.1302301478,1.09075002,0.08686555121,0.2320913604,-1.46062419,0.2391804595,-1.430536951
88,774table lamp,101,8.25,0.04540793907,0.06363149775,0.1754180018,0.08924907673,0.01379667734,235.6417904,0.8227716146,0.06360279032,0.06412005457,0.1369863014,0.8930623067,0.1157678511,0.1958595715,99.36954379,0.02971498247,0.1921597317,0.9930212645,-0.007003200741,0.1627642969,-1.815452156,0.7525032189,-0.2843500048
162,752pillow,113,4.5,0.2000868621,0.2770813243,0.617443277,0.2943022458,0.1062947721,123.3992331,0.430863244,0.4517995489,0.3609715243,0.2642386005,0.5438485804,0.2414884924,0.1571459486,99.34264421,0.06216735254,0.1601463192,1.244838266,0.2190056143,0.4951508593,-0.7028927966,0.7318026089,-0.3122444614
50,740rocking chair,153,5.923076923,0.05584176964,0.2037990222,0.4960431049,0.6060807076,0.1235299497,140.3096811,0.4899081044,0.1713653952,0.2655609811,0.0764978778,0.4670318823,0.05609133456,0.1133437434,99.99964237,0.05514403292,0.2172473708,0.6581679109,-0.4182951965,0.1813251504,-1.707463448,0.3079610419,-1.177781991
82,764sink,118,6,0.0344059596,0.05384509181,0.6982789402,0.6609044732,0.007700045725,164.0461432,0.5727868129,0.03670326069,0.0557023495,0.3547110055,0.6175771971,0.5236904831,0.3814338201,99.18496609,0.07441548544,0.08537113245,0.7108309071,-0.3413207015,0.5811412639,-0.5427614125,0.6955265995,-0.3630860232
41,420fur coat,105,3.277777778,0.3500846979,0.5178745787,0.8141867928,0.8852883992,0.1133119951,102.1123833,0.3565376511,0.8839922229,0.5553791589,0.3669428602,0.884644356,0.2266631607,0.2485526117,98.73409867,0.04703551288,0.1804907788,1.581225995,0.4582004921,0.4213326309,-0.8643326601,0.6821406304,-0.3825194394
20,582mountain bike,115,4.352941176,0.2930332262,0.4344375431,0.5450598605,0.7587334816,0.06372809023,155.7124866,0.54368885,0.5365694099,0.441696268,0.3923275615,0.9635511336,0.2493742049,0.1066618712,99.99979734,0.0465965554,0.1390214906,1.210037471,0.1906513271,0.4132577607,-0.8836837627,0.6818353463,-0.3829670779
73,713cup,126,3.947368421,0.32592,0.4979934632,0.586296485,0.7712181577,0.1010699588,156.1965182,0.5453789042,0.7377761681,0.6131940907,0.3686210641,0.7260827603,0.3906436827,0.3118874534,99.63876009,0.05049839963,0.1196768785,1.199908952,0.1822456803,0.5143729544,-0.6648066845,0.6612683515,-0.4135955435
64,493refrigerator,163,5.352941176,0.2659067608,0,0.1455155583,0.5031423954,0.09401615607,182.8970713,0.6386070926,0.7917040761,0,0.2859088256,0,0.01573693955,0.09977619408,99.99959469,0.03395214144,0.1199085505,80.17040761,4.384154464,29.59088256,3.387466292,27.59067608,3.317477892
114,581sink,143,1,0.08484758838,0.4195461051,0.8235867446,0.3546773797,0.5069166286,87.72842744,0.3063143416,0.6113798475,1,0.08968453462,0.4195461051,0.05543848637,0.1633807419,100,0.07436061576,0.2126748971,0.6152275718,-0.4857630442,0.2320694646,-1.460718536,0.220808866,-1.510457811
140,635rocking chair,93,4.571428571,0.2139840097,0.3291896251,0.356316823,0.306071748,0.03677488188,209.8059814,0.7325627843,0.2819238796,0.356316823,0.4703249337,0.812168435,0.2704476338,0.1195142703,91.72260165,0.0613504039,0.08382258802,0.7969163882,-0.2270055138,0.5842171911,-0.5374824628,0.660350415,-0.4149846531
9,621bookcase,155,4.466666667,0.3317193495,0.5084824272,0.2321811128,0.2902502157,0.05354061881,150.3214285,0.524865323,0.6265746333,0.5084824272,0.4134593487,1,0.3039742213,0.3979541583,99.06744361,0.03532998019,0.1052949246,1.227765108,0.2051955314,0.4192666818,-0.8692480893,0.6590760489,-0.4169163507
104,466television,159,4.842105263,0.3660817998,0.5788598767,0.2817489667,0.06276412584,0.09727785399,153.0146613,0.5342690687,0.9372358742,0.6211442245,0.3752820256,0.8947731261,0.2779638895,0.1667520833,99.04292822,0.03895137936,0.1401310776,1.500823168,0.4060137359,0.4258327469,-0.8537086228,0.6386609356,-0.4483815826
52,449mountain bike,79,3.894736842,0.307073955,0.4889965292,0.548618263,0.7816038826,0.09593659503,156.615799,0.5468428737,0.6621215623,0.5501630621,0.3641331978,0.8147559736,0.273683791,0.1860001132,97.32754827,0.05276024996,0.1420759031,1.199867695,0.1822112967,0.4536289639,-0.7904756752,0.6354231671,-0.4534640971
129,419soup bowl,178,3.555555556,0.3364906465,0.5492356224,0.1271991281,0.01004907689,0.07714067977,116.3091896,0.4061075057,0.9962608086,0.587316415,0.3369161464,0.8944123923,0.2220665317,0.334833759,93.81367564,0.02608748666,0.1174759945,1.684636121,0.5215495888,0.3835818144,-0.9582023449,0.6195789978,-0.4787150674
102,730desk,133,1,0.1131749608,0.4409880329,0.8731265882,0.452771351,0.5327541533,81.37132104,0.2841177411,0.9953726989,0.9994554789,0.1132345368,0.4410940093,0.1850630314,0.1444090642,99.99834299,0.06060661485,0.2351226947,0.995955463,-0.004052738222,0.2731903645,-1.297586421,0.2731224597,-1.297835014
3,759window screen,73,5,0.3276883997,0.5482964524,0.6354124116,0.728006403,0.1284621247,168.6884213,0.5889958845,0.5936770493,0.5885938727,0.4224289308,0.8889943524,0.368427206,0.08878389442,99.07740951,0.09140679774,0.194025301,1.008491862,0.008456008948,0.4810140682,-0.7318587615,0.6048549981,-0.5027665222
